gouvernorat,delegation,delegation_id,stored_lat,stored_lng,google_lat,google_lng,distance_km,status,google_address
Tunis,La Marsa,386,36.8783,10.3247,36.889117,10.322267,1.22,OK,"Marsa, Tunisie"
Tunis,Carthage,387,36.8528,10.33,36.862585,10.332949,1.12,OK,"Carthage, Tunisie"
Tunis,La Goulette,388,36.8181,10.305,36.82002,10.302084,0.34,OK,"La Goulette, Tunisie"
Tunis,Cite El Khadhra,389,36.83,10.165,36.830474,10.196942,2.84,OK,"Cité El Khadra, Tunis, Tunisie"
Tunis,El Menzah,390,36.84,10.18,36.845235,10.164723,1.48,OK,"El Menzah, Tunisie"
Tunis,Omrane,391,36.82,10.155,36.821985,10.15632,0.25,OK,"El Omrane, Tunis, Tunisie"
Tunis,Omrane Superieur,392,36.825,10.15,36.835044,10.128316,2.23,OK,"El Omrane supérieur, Tunis, Tunisie"
Tunis,Ettahrir,393,36.805,10.16,36.824389,10.128316,3.55,OK,"Ettahrir, Tunisie"
Tunis,Bardo,394,36.8092,10.1364,36.808403,10.128316,0.73,OK,"Le Bardo, Tunisie"
Tunis,Bab Souika,395,36.8083,10.17,36.804551,10.165424,0.58,OK,"Bab Souika, Tunis, Tunisie"
Tunis,Ezzouhour,396,36.81,10.145,36.796657,10.133216,1.82,OK,"Ezzouhour, Tunis, Tunisie"
Tunis,El Hrairia,397,36.795,10.135,36.789015,10.121317,1.39,OK,"El-Hrairia, Tunis, Tunisie"
Tunis,Sidi Hassine,398,36.775,10.105,36.757673,10.109914,1.98,OK,سيدي حسين، Tunisie
Tunis,El Ouardia,399,36.785,10.15,36.771608,10.184333,3.4,OK,"El Ouardia, Tunis, Tunisie"
Tunis,El Kabaria,400,36.77,10.16,36.747372,10.187135,3.49,OK,"Kabbaria, Tunisie"
Tunis,Jebel Jelloud,401,36.76,10.175,36.764343,10.20675,2.87,OK,"Djebel Jelloud, Tunis, Tunisie"
Tunis,Sidi El Bechir,402,36.79,10.17,36.792686,10.17943,0.89,OK,"Sidi El Bechir, Tunis, Tunisie"
Tunis,La Medina,403,36.7986,10.17,36.798013,10.171726,0.17,OK,"La Medina, Tunis, Tunisie"
Tunis,Bab Bhar,404,36.795,10.175,36.796925,10.176629,0.26,OK,"Bab Bhar, Tunis, Tunisie"
Tunis,Sijoumi,405,36.79,10.12,36.793647,10.160522,3.63,OK,"Sijoumi, Tunis, Tunisie"
Tunis,Le Kram,406,36.835,10.31,36.83332,10.317516,0.69,OK,"Le Kram, Tunisie"
Tunis,Tunis,615,36.8065,10.1815,36.806495,10.181532,0.0,OK,"Tunis, Tunisie"
Zaghouan,Zeriba,409,36.32,10.25,36.299718,10.269126,2.83,OK,"Zriba Village, Tunisie"
Zaghouan,Bir Mcherga,410,36.5187,9.9549,36.5187,9.95489,0.0,OK,"Bir Mcherga, Tunisie"
Zaghouan,El Fahs,411,36.37,9.91,36.380006,9.908135,1.13,OK,"El Fahs, Tunisie"
Zaghouan,Nadhour,412,36.1238,10.0932,36.12379,10.093151,0.0,OK,"Nadhour, Tunisie"
Zaghouan,Saouaf,413,36.2273,10.1725,36.22731,10.172546,0.0,OK,"Saouaf, Tunisie"
Zaghouan,Zaghouan,616,36.4029,10.1429,36.409119,10.142317,0.69,OK,"Zaghouan, Tunisie"
Siliana,Kesra,414,35.8141,9.3652,35.814073,9.365227,0.0,OK,"Kesra, Tunisie"
Siliana,Makther,415,35.8593,9.2023,35.859279,9.20235,0.01,OK,"Makthar, Tunisie"
Siliana,Rouhia,416,35.6978,9.1456,35.697777,9.145615,0.0,OK,"Rouhia, Tunisie"
Siliana,Bargou,417,36.09,9.53,36.093948,9.57013,3.63,OK,"Bargou, Tunisie"
Siliana,Gaafour,418,36.32,9.33,36.32432,9.321884,0.87,OK,"Gaâfour, Tunisie"
Siliana,El Aroussa,419,36.3787,9.4506,36.37867,9.450643,0.01,OK,"El Aroussa, Tunisie"
Siliana,Bouarada,420,36.3475,9.6258,36.34753,9.625784,0.0,OK,"Bou Arada, Tunisie"
Siliana,Le Krib,421,36.3292,9.1334,36.329189,9.133385,0.0,OK,"Le Krib, Al Karib, Tunisie"
Siliana,Sidi Bou Rouis,422,36.1772,9.1262,36.177213,9.126246,0.0,OK,"Sidi Bou Rouis, Tunisie"
Siliana,Siliana,617,36.0849,9.3708,36.088721,9.364534,0.71,OK,"Siliana, Tunisie"
Mahdia,Ksour Essef,423,35.43,10.99,35.417571,10.997658,1.55,OK,"Ksour Essef, Tunisie"
Mahdia,Chebba,424,35.235,11.115,35.23369,11.110785,0.41,OK,"La Chebba, Tunisie"
