Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
01,05:20,06:44,12:34,15:41,18:13,19:35
02,05:19,06:43,12:34,15:42,18:14,19:35
03,05:18,06:41,12:34,15:42,18:15,19:36
04,05:16,06:40,12:34,15:43,18:15,19:37
05,05:15,06:39,12:33,15:43,18:16,19:38
06,05:14,06:38,12:33,15:44,18:17,19:39
07,05:13,06:36,12:33,15:44,18:18,19:40
08,05:11,06:35,12:33,15:45,18:19,19:41
09,05:10,06:34,12:32,15:45,18:20,19:41
10,05:09,06:32,12:32,15:46,18:20,19:42
11,05:07,06:31,12:32,15:46,18:21,19:43
12,05:06,06:30,12:32,15:46,18:22,19:44
13,05:04,06:28,12:31,15:47,18:23,19:45
14,05:03,06:27,12:31,15:47,18:24,19:46
15,05:02,06:25,12:31,15:48,18:25,19:47
16,05:00,06:24,12:31,15:48,18:25,19:47
17,04:59,06:23,12:30,15:48,18:26,19:48
18,04:57,06:21,12:30,15:49,18:27,19:49
19,04:56,06:20,12:30,15:49,18:28,19:50
20,04:54,06:18,12:29,15:49,18:29,19:51
21,04:53,06:17,12:29,15:49,18:29,19:52
22,04:51,06:16,12:29,15:50,18:30,19:53
23,04:50,06:14,12:29,15:50,18:31,19:54
24,04:48,06:13,12:28,15:50,18:32,19:55
25,04:47,06:12,12:28,15:51,18:33,19:55
26,04:45,06:10,12:28,15:51,18:33,19:56
27,04:44,06:09,12:27,15:51,18:34,19:57
28,04:42,06:07,12:27,15:51,18:35,19:58
29,04:41,06:06,12:27,15:51,18:36,19:59
30,04:39,06:05,12:26,15:52,18:37,20:00
31,04:38,06:03,12:26,15:52,18:37,20:01
