Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
01,04:39,06:06,12:33,16:00,18:48,20:14
02,04:37,06:05,12:33,16:00,18:49,20:15
03,04:35,06:03,12:33,16:00,18:50,20:16
04,04:34,06:02,12:32,16:01,18:51,20:18
05,04:32,06:01,12:32,16:01,18:52,20:19
06,04:30,05:59,12:32,16:01,18:53,20:20
07,04:29,05:58,12:31,16:01,18:53,20:21
08,04:27,05:56,12:31,16:01,18:54,20:22
09,04:25,05:55,12:31,16:02,18:55,20:23
10,04:24,05:54,12:31,16:02,18:56,20:24
11,04:22,05:52,12:30,16:02,18:57,20:25
12,04:21,05:51,12:30,16:02,18:58,20:26
13,04:19,05:49,12:30,16:02,18:59,20:27
14,04:17,05:48,12:30,16:03,18:59,20:29
15,04:16,05:47,12:29,16:03,19:00,20:30
16,04:14,05:45,12:29,16:03,19:01,20:31
17,04:12,05:44,12:29,16:03,19:02,20:32
18,04:11,05:43,12:29,16:03,19:03,20:33
19,04:09,05:41,12:28,16:03,19:04,20:34
20,04:08,05:40,12:28,16:04,19:05,20:36
21,04:06,05:39,12:28,16:04,19:06,20:37
22,04:04,05:38,12:28,16:04,19:06,20:38
23,04:03,05:36,12:28,16:04,19:07,20:39
24,04:01,05:35,12:27,16:04,19:08,20:40
25,04:00,05:34,12:27,16:04,19:09,20:42
26,03:58,05:33,12:27,16:04,19:10,20:43
27,03:56,05:31,12:27,16:05,19:11,20:44
28,03:55,05:30,12:27,16:05,19:12,20:45
29,03:53,05:29,12:27,16:05,19:13,20:47
30,03:52,05:28,12:26,16:05,19:13,20:48
