Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
01,03:16,05:08,12:36,16:21,19:51,21:41
02,03:17,05:09,12:36,16:21,19:51,21:41
03,03:18,05:09,12:36,16:21,19:51,21:41
04,03:18,05:10,12:36,16:21,19:51,21:40
05,03:19,05:10,12:37,16:21,19:51,21:40
06,03:20,05:11,12:37,16:21,19:50,21:39
07,03:21,05:11,12:37,16:22,19:50,21:39
08,03:21,05:12,12:37,16:22,19:50,21:38
09,03:22,05:13,12:37,16:22,19:50,21:38
10,03:23,05:13,12:37,16:22,19:49,21:37
11,03:24,05:14,12:37,16:22,19:49,21:36
12,03:25,05:14,12:38,16:22,19:49,21:36
13,03:26,05:15,12:38,16:22,19:48,21:35
14,03:27,05:16,12:38,16:22,19:48,21:34
15,03:28,05:16,12:38,16:22,19:47,21:33
16,03:29,05:17,12:38,16:22,19:47,21:32
17,03:30,05:18,12:38,16:22,19:46,21:31
18,03:31,05:19,12:38,16:22,19:46,21:30
19,03:32,05:19,12:38,16:22,19:45,21:29
20,03:34,05:20,12:38,16:22,19:44,21:28
21,03:35,05:21,12:38,16:22,19:44,21:27
22,03:36,05:22,12:38,16:22,19:43,21:26
23,03:37,05:22,12:38,16:22,19:42,21:25
24,03:38,05:23,12:39,16:22,19:42,21:24
25,03:39,05:24,12:39,16:22,19:41,21:23
26,03:41,05:25,12:39,16:21,19:40,21:22
27,03:42,05:25,12:39,16:21,19:39,21:20
28,03:43,05:26,12:39,16:21,19:38,21:19
29,03:44,05:27,12:38,16:21,19:37,21:18
30,03:45,05:28,12:38,16:21,19:37,21:17
31,03:47,05:29,12:38,16:21,19:36,21:15
